"","county_name","CNTYFIPS","serial","popuptxt"
"1","Racine, WI","55101",1,"<strong>Racine, WI</strong><br />15-19 | Handgun - pistol, revolver, etc: 2"
"2","Yakima, WA","53077",1,"<strong>Yakima, WA</strong><br />15-19 | Firearm, type not stated: 2"
"3","Spokane, WA","53063",1,"<strong>Spokane, WA</strong><br />20-50 | Other or type unknown: 2"
"4","Kitsap, WA","53035",1,"<strong>Kitsap, WA</strong><br />Over 50 | Knife or cutting instrument: 2"
"5","Portsmouth city, VA","51740",1,"<strong>Portsmouth city, VA</strong><br />20-50 | Firearm, type not stated: 3"
"6","Smyth, VA","51173",1,"<strong>Smyth, VA</strong><br />20-50 | Other or type unknown: 3"
"7","Greensville, VA","51081",1,"<strong>Greensville, VA</strong><br />Unknown | Other or type unknown: 2"
"8","Williamson, TX","48491",1,"<strong>Williamson, TX</strong><br />20-50 | Other or type unknown: 2"
"9","Tarrant, TX","48439",1,"<strong>Tarrant, TX</strong><br />Over 50 | Blunt object - hammer, club, etc: 3"
"10","Polk, TX","48373",1,"<strong>Polk, TX</strong><br />20-50 | Handgun - pistol, revolver, etc: 2"
"11","Palo Pinto, TX","48363",1,"<strong>Palo Pinto, TX</strong><br />20-50 | Handgun - pistol, revolver, etc: 2"
"12","Nueces, TX","48355",1,"<strong>Nueces, TX</strong><br />20-50 | Other or type unknown: 2"
"13","Jefferson, TX","48245",1,"<strong>Jefferson, TX</strong><br />20-50 | Other or type unknown: 2"
"14","Hudspeth, TX","48229",1,"<strong>Hudspeth, TX</strong><br />20-50 | Other or type unknown: 2"
"15","Hood, TX","48221",1,"<strong>Hood, TX</strong><br />20-50 | Handgun - pistol, revolver, etc: 2"
"16","Galveston, TX","48167",1,"<strong>Galveston, TX</strong><br />15-19 | Handgun - pistol, revolver, etc: 2"
"17","El Paso, TX","48141",1,"<strong>El Paso, TX</strong><br />Over 50 | Blunt object - hammer, club, etc: 2"
"18","Dallas, TX","48113",4,"<strong>Dallas, TX</strong><br />Over 50 | Blunt object - hammer, club, etc: 6<br />Over 50 | Other or type unknown: 4<br />15-19 | Other or type unknown: 2<br />20-50 | Other gun: 2"
"19","Bexar, TX","48029",3,"<strong>Bexar, TX</strong><br />20-50 | Other or type unknown: 11<br />Unknown | Other or type unknown: 4<br />15-19 | Strangulation - hanging: 2"
"20","Hamilton, TN","47065",1,"<strong>Hamilton, TN</strong><br />Over 50 | Other or type unknown: 2"
"21","Davidson, TN","47037",1,"<strong>Davidson, TN</strong><br />Over 50 | Other or type unknown: 2"
"22","Hughes, SD","46065",1,"<strong>Hughes, SD</strong><br />20-50 | Other or type unknown: 2"
"23","Williamsburg, SC","45089",1,"<strong>Williamsburg, SC</strong><br />Over 50 | Firearm, type not stated: 2"
"24","Horry, SC","45051",1,"<strong>Horry, SC</strong><br />15-19 | Firearm, type not stated: 3"
"25","Darlington, SC","45031",1,"<strong>Darlington, SC</strong><br />0-14 | Firearm, type not stated: 3"
"26","Clarendon, SC","45027",1,"<strong>Clarendon, SC</strong><br />0-14 | Handgun - pistol, revolver, etc: 2"
"27","Anderson, SC","45007",1,"<strong>Anderson, SC</strong><br />Over 50 | Firearm, type not stated: 3"
"28","Philadelphia, PA","42101",1,"<strong>Philadelphia, PA</strong><br />15-19 | Knife or cutting instrument: 3"
"29","Northumberland, PA","42097",1,"<strong>Northumberland, PA</strong><br />20-50 | Other or type unknown: 2"
"30","Luzerne, PA","42079",2,"<strong>Luzerne, PA</strong><br />20-50 | Fire: 2<br />Over 50 | Blunt object - hammer, club, etc: 2"
"31","Huntingdon, PA","42061",1,"<strong>Huntingdon, PA</strong><br />20-50 | Handgun - pistol, revolver, etc: 2"
"32","Erie, PA","42049",1,"<strong>Erie, PA</strong><br />20-50 | Fire: 2"
"33","Delaware, PA","42045",2,"<strong>Delaware, PA</strong><br />20-50 | Firearm, type not stated: 6<br />Over 50 | Knife or cutting instrument: 4"
"34","Cambria, PA","42021",1,"<strong>Cambria, PA</strong><br />20-50 | Firearm, type not stated: 2"
"35","Allegheny, PA","42003",2,"<strong>Allegheny, PA</strong><br />15-19 | Handgun - pistol, revolver, etc: 2<br />Over 50 | Personal weapons, includes beating: 2"
"36","Umatilla, OR","41059",1,"<strong>Umatilla, OR</strong><br />15-19 | Knife or cutting instrument: 2"
"37","Clackamas, OR","41005",1,"<strong>Clackamas, OR</strong><br />20-50 | Blunt object - hammer, club, etc: 2"
"38","Okfuskee, OK","40107",1,"<strong>Okfuskee, OK</strong><br />0-14 | Handgun - pistol, revolver, etc: 2"
"39","Scioto, OH","39145",1,"<strong>Scioto, OH</strong><br />20-50 | Firearm, type not stated: 2"
"40","Pickaway, OH","39129",1,"<strong>Pickaway, OH</strong><br />20-50 | Other or type unknown: 2"
"41","Montgomery, OH","39113",2,"<strong>Montgomery, OH</strong><br />Over 50 | Personal weapons, includes beating: 2<br />Unknown | Other or type unknown: 2"
"42","Mahoning, OH","39099",1,"<strong>Mahoning, OH</strong><br />Over 50 | Other or type unknown: 2"
"43","Franklin, OH","39049",1,"<strong>Franklin, OH</strong><br />Unknown | Other or type unknown: 2"
"44","Cuyahoga, OH","39035",3,"<strong>Cuyahoga, OH</strong><br />Over 50 | Other or type unknown: 10<br />15-19 | Other or type unknown: 3<br />Over 50 | Firearm, type not stated: 2"
"45","Clark, OH","39023",2,"<strong>Clark, OH</strong><br />20-50 | Other or type unknown: 3<br />20-50 | Firearm, type not stated: 2"
"46","Wayne, NC","37191",1,"<strong>Wayne, NC</strong><br />Over 50 | Handgun - pistol, revolver, etc: 2"
"47","Sampson, NC","37163",1,"<strong>Sampson, NC</strong><br />20-50 | Other gun: 2"
"48","Robeson, NC","37155",1,"<strong>Robeson, NC</strong><br />Unknown | Personal weapons, includes beating: 3"
"49","Lincoln, NC","37109",1,"<strong>Lincoln, NC</strong><br />Over 50 | Other or type unknown: 2"
"50","Hertford, NC","37091",1,"<strong>Hertford, NC</strong><br />Over 50 | Knife or cutting instrument: 2"
"51","Edgecombe, NC","37065",1,"<strong>Edgecombe, NC</strong><br />20-50 | Other or type unknown: 3"
"52","Durham, NC","37063",1,"<strong>Durham, NC</strong><br />20-50 | Other or type unknown: 3"
"53","Cumberland, NC","37051",2,"<strong>Cumberland, NC</strong><br />20-50 | Firearm, type not stated: 2<br />Unknown | Other or type unknown: 2"
"54","Warren, NY","36113",1,"<strong>Warren, NY</strong><br />0-14 | Firearm, type not stated: 2"
"55","Suffolk, NY","36103",1,"<strong>Suffolk, NY</strong><br />Unknown | Other or type unknown: 5"
"56","Nassau, NY","36059",1,"<strong>Nassau, NY</strong><br />20-50 | Other or type unknown: 3"
"57","Erie, NY","36029",1,"<strong>Erie, NY</strong><br />15-19 | Handgun - pistol, revolver, etc: 4"
"58","McKinley, NM","35031",1,"<strong>McKinley, NM</strong><br />20-50 | Other or type unknown: 2"
"59","Dona Ana, NM","35013",1,"<strong>Dona Ana, NM</strong><br />Over 50 | Other or type unknown: 2"
"60","Bernalillo, NM","35001",2,"<strong>Bernalillo, NM</strong><br />20-50 | Other or type unknown: 9<br />15-19 | Other or type unknown: 2"
"61","Essex, NJ","34013",2,"<strong>Essex, NJ</strong><br />20-50 | Personal weapons, includes beating: 3<br />Over 50 | Personal weapons, includes beating: 2"
"62","Atlantic, NJ","34001",1,"<strong>Atlantic, NJ</strong><br />20-50 | Asphyxiation - includes death by gas: 4"
